StarID,RA,Dec,Spectrum
165,0.04601528,6.03445242,F8          
166,0.04611597,35.81547283,A0          
167,0.04621434,80.28224146,F2          
168,0.04629872,-40.9831797,K1III       
169,0.04642741,2.1303764,G0          
170,0.04734347,28.25189113,F8          
171,0.04759564,47.25228068,A0          
172,0.04771301,30.3365158,F2          
173,0.04867075,-30.14977973,A0V         
174,0.04879841,71.35854324,K0          
175,0.04918777,-0.89382979,K0          
176,0.04928494,-20.04607402,F6/F7V      
177,0.04954493,3.38193739,F5          
178,0.05013113,9.13829706,K0          
179,0.05014439,-34.74405055,G8IV        
180,0.05022513,-60.69189462,K0III       
181,0.05059098,39.99515242,F8          
182,0.05090547,-7.81552594,G5          
183,0.05105009,8.27080462,F0          
184,0.05161308,31.87010321,F8          
185,0.05162115,52.46516859,K0          
186,0.05169369,-25.26104885,K2III       
187,0.05217149,-24.14513788,K1III       
188,0.0523113,42.74791705,A2          
189,0.05296824,-24.58828778,F2/F3V      
190,0.05353433,-31.21239379,A0V         
191,0.05368853,17.55239698,K0          
192,0.05372694,48.7223389,M0          
193,0.05528252,4.68713578,M1          
194,0.05547195,38.24401553,K0          
195,0.05569065,-11.94520986,K1IIICN...  
196,0.05569407,-4.14573041,F2          
197,0.05612037,59.07861165,K5          
198,0.05613679,23.5750499,G5          
199,0.05667045,73.17449052,A2          
200,0.05703441,-26.41518293,G8/K0III    
201,0.0571436,63.64052431,B3Ia        
202,0.05719411,20.66591788,G0          
203,0.05728525,-36.25120504,F2V         
204,0.05754128,55.55090206,B2IVne+...  
205,0.05758499,62.35780416,B8V         
206,0.05775108,53.31270092,A2          
207,0.05841247,55.05995058,M0          
208,0.05842847,19.3815717,K0          
209,0.05847703,12.35682896,A5          
210,0.05871155,-35.60222342,K1IV/VCN... 
211,0.05925061,42.35221969,K0          
212,0.06015723,-51.80908752,K0III       
213,0.06027427,-31.09403248,F8/G0V      
214,0.06030294,-28.41713516,Ap...       
215,0.06058045,70.30603307,A0          
216,0.06105999,-57.16443914,F6V         
217,0.06114376,3.90700467,F0          
218,0.06147189,-28.39584776,G8V         
219,0.06162965,48.43692667,A2          
220,0.06179703,13.36518977,K0          
221,0.06225145,-63.60066163,F5V         
222,0.06232565,-17.33597002,B9IVn       
223,0.06232724,42.02349764,A3          
224,0.06434093,66.71220273,M4          
225,0.06461062,57.37827711,Am...       
226,0.064653,22.29607151,A2          
227,0.06480418,-28.3937693,G5IV        
228,0.06498266,-57.8303572,G2V         
229,0.06556931,14.37891704,F0          
230,0.06572723,-45.28859728,A7V         
231,0.06583926,36.97021204,F0          
232,0.06597319,61.10364174,B0Ibp       
233,0.06607347,-48.12518732,F3/F5V      
234,0.0661151,20.95381941,G0          
235,0.06673311,12.14583388,F0          
236,0.06683546,-80.3950701,F0III/IV    
237,0.06772121,62.22195138,O8e         
238,0.06884474,-25.89254967,G2/G3V      
239,0.06901162,56.92100467,G8IV        
240,0.0695029,17.43668381,F5          
